industry_section,company_name,headquarters_country,main_industry_activities,brand_name,brand_type,invoice_example,gpc_segment,gpc_family,gpc_class,gpc_brick
"A – Agriculture, forestry and fishing",Saudi Agricultural and Livestock Investment Company (SALIC),Saudi Arabia,"Agriculture, Livestock Investment",Almarai Milk,Dairy Product,Almarai Full Cream Milk 1L,Food/Beverage/Tobacco,Dairy Products,Milk,Milk - Fresh
"A – Agriculture, forestry and fishing",Saudi Agricultural and Livestock Investment Company (SALIC),Saudi Arabia,"Agriculture, Livestock Investment",Almarai Cheese,Dairy Product,Almarai Cheddar Cheese 200g,Food/Beverage/Tobacco,Dairy Products,Cheese,Cheese - Hard
"A – Agriculture, forestry and fishing",Saudi Agricultural and Livestock Investment Company (SALIC),Saudi Arabia,"Agriculture, Livestock Investment",Almarai Yogurt,Dairy Product,Almarai Plain Yogurt 500g,Food/Beverage/Tobacco,Dairy Products,Yogurt,Yogurt - Plain
"A – Agriculture, forestry and fishing",Almarai Company,Saudi Arabia,"Dairy Farming, Agriculture",Almarai Fresh Milk,Dairy Product,Almarai Fresh Milk 1L,Dairy,Milk,Fresh Milk,Whole Milk
"A – Agriculture, forestry and fishing",Almarai Company,Saudi Arabia,"Dairy Farming, Agriculture",Almarai Yogurt,Dairy Product,Almarai Yogurt 500g,Dairy,Yogurt,Plain Yogurt,Natural Yogurt
"A – Agriculture, forestry and fishing",Almarai Company,Saudi Arabia,"Dairy Farming, Agriculture",Almarai Cheese,Dairy Product,Almarai Cheese Slices 200g,Dairy,Cheese,Processed Cheese,Cheese Slices
"A – Agriculture, forestry and fishing",National Agricultural Development Company (NADEC),Saudi Arabia,"Agriculture, Dairy Farming",NADEC Milk,Dairy Product,NADEC Full Cream Milk 1L,Dairy Products,Milk & Milk Substitutes,Milk,Milk
"A – Agriculture, forestry and fishing",National Agricultural Development Company (NADEC),Saudi Arabia,"Agriculture, Dairy Farming",NADEC Cheese,Dairy Product,NADEC Cheddar Cheese 200g,Dairy Products,Cheese,Cheddar Cheese,Cheese
"A – Agriculture, forestry and fishing",National Agricultural Development Company (NADEC),Saudi Arabia,"Agriculture, Dairy Farming",NADEC Yogurt,Dairy Product,NADEC Plain Yogurt 500g,Dairy Products,Yogurt,Plain Yogurt,Yogurt
B – Mining and quarrying,Saudi Arabian Mining Company (Ma'aden),Saudi Arabia,"Mining of gold, phosphate, aluminum, and industrial minerals",Phosphate Fertilizer,Product,Phosphate Fertilizer 50kg,Chemicals,Fertilizers,Phosphate Fertilizers,Granular Phosphate Fertilizers
B – Mining and quarrying,Saudi Arabian Mining Company (Ma'aden),Saudi Arabia,"Mining of gold, phosphate, aluminum, and industrial minerals",Aluminum Ingots,Product,Aluminum Ingot 99.7%,Metals,Aluminum,Primary Aluminum,Aluminum Ingots
B – Mining and quarrying,Saudi Arabian Mining Company (Ma'aden),Saudi Arabia,"Mining of gold, phosphate, aluminum, and industrial minerals",Gold Bullion,Product,Gold Bullion 1kg,Metals,Precious Metals,Gold,Gold Bullion
B – Mining and quarrying,Saudi Aramco,Saudi Arabia,"Oil and gas extraction, mining of associated minerals",Crude Oil,Commodity,Crude Oil - Arabian Light,Energy & Utilities,Fuels,Petroleum,Crude Oil
B – Mining and quarrying,Saudi Aramco,Saudi Arabia,"Oil and gas extraction, mining of associated minerals",Natural Gas,Commodity,Natural Gas - Methane,Energy & Utilities,Fuels,Natural Gas,Natural Gas
B – Mining and quarrying,Saudi Aramco,Saudi Arabia,"Oil and gas extraction, mining of associated minerals",Petrochemicals,Product,Polyethylene,Chemicals,Plastics & Resins,Polyethylene,Polyethylene
B – Mining and quarrying,Al Masane Al Kobra Mining Company,Saudi Arabia,"Mining of copper, zinc, gold, and silver",Copper Concentrate,Product,Copper Concentrate 25 MT,Metals,Non-Ferrous Metals,Copper,Copper Concentrates
B – Mining and quarrying,Al Masane Al Kobra Mining Company,Saudi Arabia,"Mining of copper, zinc, gold, and silver",Zinc Concentrate,Product,Zinc Concentrate 20 MT,Metals,Non-Ferrous Metals,Zinc,Zinc Concentrates
B – Mining and quarrying,Al Masane Al Kobra Mining Company,Saudi Arabia,"Mining of copper, zinc, gold, and silver",Gold Bullion,Product,Gold Bullion 1 KG,Metals,Precious Metals,Gold,Gold Bullion
C – Manufacturing,Saudi Basic Industries Corporation (SABIC),Saudi Arabia,"Petrochemicals, Chemicals, Plastics, Fertilizers, Metals",SABIC Polyethylene,Polymer,SABIC Polyethylene 25kg,Chemicals,Polymers,Polyethylene,Polyethylene Resins
C – Manufacturing,Saudi Basic Industries Corporation (SABIC),Saudi Arabia,"Petrochemicals, Chemicals, Plastics, Fertilizers, Metals",SABIC Polypropylene,Polymer,SABIC Polypropylene 25kg,Chemicals,Polymers,Polypropylene,Polypropylene Resins
C – Manufacturing,Saudi Basic Industries Corporation (SABIC),Saudi Arabia,"Petrochemicals, Chemicals, Plastics, Fertilizers, Metals",SABIC Polycarbonate,Polymer,SABIC Polycarbonate 25kg,Chemicals,Polymers,Polycarbonate,Polycarbonate Resins
C – Manufacturing,Saudi Arabian Oil Company (Saudi Aramco),Saudi Arabia,"Petrochemicals, Refining, Chemicals",Crude Oil,Commodity,"Crude Oil - 1,000 barrels",Energy & Fuels,Fossil Fuels,Crude Oil,Crude Oil
C – Manufacturing,Saudi Arabian Oil Company (Saudi Aramco),Saudi Arabia,"Petrochemicals, Refining, Chemicals",Refined Petroleum Products,Commodity,Diesel Fuel - 500 gallons,Energy & Fuels,Refined Fuels,Petroleum Products,Diesel Fuel
C – Manufacturing,Saudi Arabian Oil Company (Saudi Aramco),Saudi Arabia,"Petrochemicals, Refining, Chemicals",Natural Gas,Commodity,"Natural Gas - 1,000 cubic meters",Energy & Fuels,Natural Gas,Natural Gas,Natural Gas
C – Manufacturing,Saudi Arabian Mining Company (Ma'aden),Saudi Arabia,"Mining, Metals, Fertilizers",Phosphate Fertilizer,Product,Phosphate Fertilizer 50kg,Chemicals,Fertilizers,Phosphate Fertilizers,Granular Phosphate Fertilizers
C – Manufacturing,Saudi Arabian Mining Company (Ma'aden),Saudi Arabia,"Mining, Metals, Fertilizers",Aluminum Ingots,Product,Aluminum Ingot 99.7%,Metals,Aluminum,Primary Aluminum,Aluminum Ingots
C – Manufacturing,Saudi Arabian Mining Company (Ma'aden),Saudi Arabia,"Mining, Metals, Fertilizers",Gold Bullion,Product,Gold Bullion 1kg,Metals,Precious Metals,Gold,Gold Bullion
"D – Electricity, gas, steam and air conditioning supply",Saudi Electricity Company,Saudi Arabia,"Electricity generation, transmission, and distribution",Electricity Supply,Service,Monthly electricity bill,Utilities,Energy,Electricity,Electricity Supply Services
"D – Electricity, gas, steam and air conditioning supply",Saudi Electricity Company,Saudi Arabia,"Electricity generation, transmission, and distribution",Smart Meters,Product,Smart meter installation fee,Utilities,Energy,Metering,Smart Meters
"D – Electricity, gas, steam and air conditioning supply",Saudi Electricity Company,Saudi Arabia,"Electricity generation, transmission, and distribution",Renewable Energy Solutions,Service,Solar panel installation,Utilities,Energy,Renewable Energy,Solar Energy Solutions
"D – Electricity, gas, steam and air conditioning supply",ACWA Power,Saudi Arabia,Power generation and desalinated water production,Rabigh Power Plant,Power Generation,Electricity Supply Invoice,Utilities,Electricity,Power Generation,Thermal Power Plant
"D – Electricity, gas, steam and air conditioning supply",ACWA Power,Saudi Arabia,Power generation and desalinated water production,Shuaibah Water Desalination,Water Desalination,Water Supply Invoice,Utilities,Water,Desalination,Reverse Osmosis Plant
